2732,15907
2506,15744
2396,14908
2505,14877
2436,14860
2416,14785
2332,14461
2350,14637
2327,14563
2340,14671
2291,14367
2253,14339
2408,15228
2402,15192
2300,14558
2290,14531
2249,14261
2276,14500
2254,14468
2318,14774
2163,13390
2171,13696
2356,14743
2806,16642
2746,16606
2685,16016
2439,15036
2292,14430
2265,14365
2227,14406
2250,14437
2228,14332
2315,14990
2243,14743
2162,13972
2162,13946
2244,14387
2217,14095
2195,13847
2258,14082
2200,13889
2291,14128
2259,13888
2262,13925
2248,13998
2136,13364
2133,13331
2116,13291
2741,16779
2653,16697
2481,15480
2444,15476
2410,15312
2366,14887
2352,14911
2311,14745
2306,14710
2246,14225
2253,14294
2202,14118
2324,14860
2326,14834
2290,14398
2222,13754
2288,14038
2092,12710
2115,12854
2069,12666
2032,12301
2040,12337
2001,12080
1995,12022
2012,12214
2745,16402
2392,14529
2419,14830
2391,14017
2450,14585
2443,14550
2333,14180
2289,13927
2266,13727
2261,13701
2217,13708
2205,13580
2237,13810
2261,14046
2202,13687
2186,13413
2213,13526
2204,13459
2192,13365
2168,13188
2237,13465
2809,16678
2682,16579
2639,16476
2604,16484
2593,16415
2541,15922
2554,16070
2457,15784
2383,15464
2400,15574
2384,15547
2311,14950
2285,14677
2157,13521
2297,14075
2226,13850
2194,13777
2248,13973
2749,16076
2694,16073
2657,16121
2664,16210
2640,16172
2521,15565
2482,15571
2482,15630
2506,15696
2433,15352
2459,15540
2506,15807
2350,14964
2267,14549
2227,14205
2175,13726
2171,13752
2125,13253
2335,14041
2279,13854
2150,13220
2063,12636
2164,13288
2150,13138
2175,13041
2050,12426
2101,12650
2132,12785
2151,12843
2628,16785
2602,16739
2592,16716
2428,15558
2381,15037
2357,15006
2462,15185
2448,15146
2482,15302
2384,14714
2366,14676
2385,14770
2256,14140
2215,14037
2132,13435
2104,13418
2105,13392
2097,13327
2679,16641
2558,15691
2577,15753
2497,15420
2575,15445
2488,15352
2391,15011
2516,15539
2522,15598
2605,15728
2549,15660
2487,15512
2372,15194
2349,15153
2390,15361
2383,15337
2333,15133
2241,14523
2274,14639
2255,14590
2339,15095
2293,14274
2664,16612
2156,12675
2117,12570
2097,12383
2119,12407
2102,12235
2076,12195
2067,12102
2070,12128
2158,12975
2154,12895
2212,13236
2213,13266
2247,13533
2197,13332
2028,11393
1992,11324
1981,11206
1976,11150
1967,11057
2746,16663
2707,16649
2488,15123
2401,14604
2397,14576
2425,14571
2336,14122
2241,13907
2181,13918
2169,13876
2157,13805
2143,13776
2168,13651
2133,13685
2779,16651
2553,15735
2416,15011
2333,14615
2276,13957
2391,14367
2168,13116
2128,12722
2100,12475
2235,13397
2253,13426
2167,12484
2126,12354
2111,12211
2105,12174
2057,11979
2017,11351
2031,11639
2001,11637
1996,11589
1997,11552
2745,16557
2641,15966
2594,15909
2460,15111
2425,14749
2469,15265
2438,15234
2415,15162
2359,14541
2422,14675
2409,14729
2338,14417
2325,14494
2366,14607
2392,14679
2508,14526
2522,14709
2460,14616
2432,14463
2428,14392
2320,13967
2342,14222
2350,14359
2488,14826
2290,14012
2766,16243
2694,16198
2653,15932
2620,15913
2411,15046
2353,14487
2299,14157
2801,16921
2743,16834
2685,16860
2546,15861
2449,15439
2301,14615
2637,16761
2482,15678
2449,15585
2432,15409
2367,15085
2349,14851
2206,13817
